titulo;tipo_ruta;modalidad;provincia;dificultad;distancia;duracion_horas;duracion_minutos;desnivel_positivo;desnivel_negativo;tipo_recorrido;altitud_minima;altitud_maxima;sobre_ruta;mejor_epoca;puntos_interes;ecosistema;puntos_agua;valoracion;punto_inicio;forma_fisica;mejor_momento_dia;equipamiento;como_llegar;restricciones_permisos;parking_descripcion;transporte_publico;servicios_cercanos;alojamiento_cercano;avisos_seguridad;archivo_gpx;galeria_imagenes
GR-1 Sendero Histórico;GR;Senderismo;Lleida;Moderada;68;0;0;2100;2200;Travesía;400;1700;Primer GR homologado de España;Primavera-Otoño;Prepirineo;Bosque mixto;Fuentes;4.4;La Seu d'Urgell;Media;Mañana;Calzado montaña;Acceso local;Sin permisos;Parking local;Bus regional;Servicios básicos;Casas rurales;Aislamiento;https://senders.feec.cat/gr1.gpx;
GR-1 Sendero Histórico (Ourense);GR;Senderismo;Ourense;Moderada;72;0;0;1800;1900;Travesía;300;1100;Tramo gallego del GR-1;Primavera-Otoño;Ribeira Sacra;Bosque atlántico;Ríos y fuentes;4.4;Castro Caldelas;Media;Mañana;Calzado montaña;Acceso local;Sin permisos;Parking local;Bus regional;Servicios básicos;Casas rurales;Tramos aislados;https://www.mendikat.net/com.gpx/gr1-galicia;
GR-10 Tramo Sierra de Ayllón;GR;Senderismo;Guadalajara;Moderada;35;12;0;1400;1500;Travesía;900;2000;Tramo montañoso del GR-10;Primavera-Otoño;Hayedos de Tejera Negra;Bosque atlántico relicto;Arroyos;4.5;Majaelrayo;Senderistas;Mañana;Abrigo y botas;Acceso por Majaelrayo;Parque Natural;Parking rural;Bus limitado;Servicios básicos;Casas rurales;Meteorología;https://www.mendikat.net/com.gpx/gr10-ayllon;
GR-10 Tramo Sierra de Guadarrama;GR;Senderismo;Madrid;Difícil;28;9;0;1400;1300;Travesía;900;2242;Tramo del GR-10 por la Sierra de Guadarrama;Primavera-Otoño;La Pedriza, Cuerda Larga;Pinar y alta montaña;Arroyos;4.6;Cercedilla;Buena forma;Mañana;Botas, abrigo;Acceso por Cercedilla;Parque Nacional;Parking señalizado;Cercanías Renfe;Servicios turísticos;Hoteles rurales;Tormentas;https://www.mendikat.net/com.gpx/gr10-guadarrama;
GR-10 Tramo Valle del Aragón;GR;Senderismo;Huesca;Difícil;28;9;0;1200;1000;Travesía;900;2100;Tramo pirenaico del GR-10;Verano;Pirineos;Bosque alpino, fauna pirenaica;Ríos y fuentes;4.7;Canfranc;Montaña;Mañana;Equipo montaña;Acceso por Canfranc;Parque Natural;Parking municipal;Tren y bus;Servicios turísticos;Hoteles y refugios;Tormentas;https://www.mendikat.net/com.gpx/gr10;
GR-11 Senda Pirenaica (Huesca);GR;Senderismo;Huesca;Difícil;350;0;0;18000;17500;Travesía por etapas;700;3000;Tramo aragonés de la Senda Pirenaica;Verano;Pirineos;Alta montaña alpina;Ríos y refugios;4.9;Ansó;Alta montaña;Mañana;Equipo técnico;Acceso por valles;Parques Naturales;Parking rural;Bus limitado;Servicios turísticos;Refugios;Clima extremo;https://www.mendikat.net/com.gpx/gr11;
GR-11 Tramo Pirineo Navarro;GR;Senderismo;Navarra;Difícil;80;0;0;5200;5000;Travesía por etapas;600;2400;Tramo navarro de la Senda Pirenaica;Verano;Pirineos navarros;Alta montaña;Ríos y refugios;4.9;Isaba;Alta montaña;Mañana;Equipo técnico;Acceso por Isaba;Espacios protegidos;Parking rural;Bus limitado;Servicios turísticos;Refugios;Clima severo;https://www.mendikat.net/com.gpx/gr11-navarra;
GR-121 Vuelta a Gipuzkoa;GR;Senderismo;Gipuzkoa;Moderada;168;0;0;4200;4200;Circular por etapas;0;1500;Gran recorrido circular por Gipuzkoa;Todo el año;Costa y montaña vasca;Bosque atlántico;Fuentes frecuentes;4.6;Donostia;Media;Mañana;Impermeable;Acceso urbano;Sin permisos;Parking urbano;Bus y tren;Servicios completos;Hoteles;Lluvias;https://www.mendikat.net/com.gpx/gr121;
GR-14 Senda del Duero;GR;Senderismo;León;Moderada;130;0;0;900;1200;Travesía por etapas;600;1200;Recorrido fluvial del Duero;Primavera-Verano;Riberas y cañones;Bosque de ribera;Río Duero;4.3;Duruelo de la Sierra;Media;Mañana;Calzado cómodo;Acceso local;Sin permisos;Parking municipal;Bus regional;Servicios básicos;Casas rurales;Tramos largos;https://www.mendikat.net/com.gpx/gr14;
GR-14 Senda del Duero;GR;Senderismo;Zamora;Moderada;98;0;0;800;900;Travesía por etapas;600;900;Tramo zamorano del GR-14;Primavera-Verano;Arribes del Duero;Bosque de ribera;Río Duero;4.4;Fermoselle;Media;Mañana;Calzado cómodo;Acceso local;Parque Natural;Parking rural;Bus regional;Servicios básicos;Casas rurales;Calor;https://www.mendikat.net/com.gpx/gr14-zamora;
GR-221 Ruta de Pedra en Sec;GR;Senderismo;Islas Baleares;Difícil;140;0;0;6500;6500;Travesía por etapas;0;1200;Gran recorrido de la Serra de Tramuntana;Primavera-Otoño;Serra de Tramuntana;Bosque mediterráneo;Fuentes;4.8;Andratx;Buena forma;Mañana;Botas, agua;Acceso local;Espacio protegido;Parking urbano;Bus insular;Servicios turísticos;Refugios;Calor;https://www.caib.es/gr221.gpx;
GR-249 Gran Senda de Málaga;GR;Senderismo;Málaga;Moderada;650;0;0;18500;18500;Circular por etapas;0;1500;Gran recorrido provincial por la provincia de Málaga;Todo el año;Serranía de Ronda, costa;Bosque mediterráneo;Fuentes y ríos;4.8;Málaga capital;Media;Mañana;Calzado montaña;Acceso urbano;Espacios protegidos;Parking urbano;Bus y tren;Servicios completos;Hoteles;Calor en verano;https://www.gransendademalaga.es/gpx;
GR-25 Vuelta a la Llanada Alavesa;GR;Senderismo;Álava;Moderada;172;0;0;3500;3500;Circular por etapas;480;895;Gran recorrido circular por la Llanada Alavesa;Primavera-Otoño;Montes de Vitoria, humedales;Bosque atlántico, campiña;Fuentes en pueblos;4.5;Vitoria-Gasteiz;Senderistas habituados;Mañana;Calzado montaña, agua;Acceso desde Vitoria;Sin permisos;Parking urbano;Bus y tren;Servicios completos;Hoteles rurales;Planificar etapas;https://www.mendikat.net/com.gpx/gr25;https://www.euskaditurismo.eus
GR-65 Camino de Santiago Francés;GR;Senderismo;Palencia;Moderada;70;0;0;600;700;Travesía por etapas;700;950;Tramo castellano del Camino Francés;Primavera-Otoño;Tierra de Campos;Paisaje cerealista;Fuentes y pueblos;4.7;Frómista;Media;Mañana;Calzado cómodo;Acceso por Frómista;Ruta cultural;Parking urbano;Bus y tren;Servicios completos;Albergues;Calor;https://www.mendikat.net/com.gpx/gr65;
GR-66 Ruta de la Lana;GR;Senderismo;Albacete;Moderada;194;0;0;2100;2300;Travesía por etapas;700;1300;Antigua vía histórica entre Levante y Meseta;Primavera-Otoño;Sierras de Alcaraz y Segura;Monte mediterráneo;Fuentes puntuales;4.2;Alcaraz;Experiencia en rutas largas;Mañana;Botas, agua;Acceso por Alcaraz;Sin permisos;Aparcamientos locales;Bus regional;Servicios básicos;Casas rurales;Tramos aislados;https://www.mendikat.net/com.gpx/gr66;
GR-7 Tramo Alpujarra Almeriense;GR;Senderismo;Almería;Moderada;42;14;0;2200;2400;Travesía;400;1500;Recorrido por la vertiente sur de Sierra Nevada;Primavera-Otoño;Barrancos, pueblos blancos;Alta montaña mediterránea;Acequias y fuentes;4.4;Laujar de Andarax;Experiencia media;Mañana;Protección solar;Acceso por Laujar;Espacio protegido;Parking urbano;Bus comarcal;Servicios básicos;Casas rurales;Calor en verano;https://www.juntadeandalucia.es/gr7-alpujarra.gpx;
GR-7 Tramo Alpujarra Granadina;GR;Senderismo;Granada;Difícil;52;18;0;2600;2800;Travesía;500;1900;Tramo del GR-7 por la Alpujarra;Primavera-Otoño;Barrancos y pueblos blancos;Alta montaña mediterránea;Acequias;4.7;Lanjarón;Buena forma;Mañana;Botas, protección solar;Acceso por Lanjarón;Espacio protegido;Parking urbano;Bus comarcal;Servicios básicos;Casas rurales;Calor y desnivel;https://www.juntadeandalucia.es/gr7-alpujarra-granada.gpx;
